code,cpv_descr
302333004,smart card readers
302333107,fingerprint readers
302333200,combined smart card and fingerprint readers
302340008,storage media
302341009,magnetic disk
302342000,optical disks
302343001,compact disks cds
302344002,digital versatile disks dvds
302345003,memory storage media
302346004,flash memory
302347005,magnetic tapes
302360002,miscellaneous computer equipment
302361003,memory expansion equipment
302361106,random access memory ram
302361113,dynamic random access memory dram
302361120,static random access memory sram
302361137,synchronous dynamic random access memory sdram
302361144,rambus dynamic random access memory rdram
302361151,synchronous graphic random access memory sgram
302361209,read only memory rom
302361216,programmable read only memory prom
302361223,erasable programmable read only memory eprom
302361230,electronically erasable programmable read only memory eeprom
302362004,data processing equipment
302370009,parts accessories and supplies for computers
302371000,parts of computers
302371103,network interfaces
302371206,computer ports
302371213,serial infrared ports
302371309,computer cards
302371316,electronic cards
302371323,universal serial bus usb interfaces
302371330,personal computer memory card international association pcmcia adaptors and interfaces
302371347,graphic accelerator cards
302371354,network interfaces cards
302371361,audio cards
302371402,motherboards
302372001,computer accessories
302372104,anti glare screens
302372207,mousepads
302372300,caches
302372403,web camera
302372506,computer cleaning accessories
302372513,computer cleaning kits
302372520,pressurised air dusters
302372537,dust covers for computer equipment
302372609,monitor wall mount arms
302372702,portable computer carrying cases
302372805,power supply accessories
302372908,keyboard wrist rests
302372953,keyguards
302373002,computer supplies
302373105,font cartridges for printers
302373208,diskettes
302373301,digital audio tape dat cartridges
302373404,digital linear tape dlt cartridges
302373507,data cartridges
302373600,linear tape open lto cartridges
302373703,recording cartridges
302373806,cd rom
302374003,data entry accessories
302374106,computer mouse
302374209,joysticks
302374302,light pens
302374405,trackballs
302374508,graphics tablets
302374601,computer keyboards
302374618,programmable keyboards
302374704,braille pads
302374759,electric sensors
302374807,input units
302380006,library automation equipment
310000006,electrical machinery apparatus equipment and consumables lighting
311000007,electric motors generators and transformers
311100000,electric motors
311110007,adapters
311200003,generators
311210000,generating sets
311211001,generating sets with compression ignition engines
311211104,power converters
311211111,electric rotary converters
311212002,generating sets with spark ignition engines
311213003,wind energy generators
311213106,windmills
311213209,wind turbines
311213302,wind turbine generators
311213319,turbine rotors
311213405,wind farm
311220007,generator units
311221008,fuel cells
311240001,steam turbine generator and related apparatus
311241002,turbine generator sets
311242003,turbine generator control apparatus
311260005,dynamos
311270002,emergency generator
311280009,turbogenerator
311300006,alternators
311310003,single phase motors
311311004,actuators
311312005,anodes
311320000,multi phase motors
311400009,cooling towers
311410006,water coolers
311500002,ballasts for discharge lamps or tubes
311510009,static converters
311530003,rectifiers
311540000,uninterruptible power supplies
311550007,inverters
311560004,interruptible power supplies
311570001,inductors
311580008,chargers
311581009,battery chargers
311582000,supercharger
311583001,turbocharger
311600005,parts of electric motors generators and transformers
311610002,parts for electrical motors and generators
311611003,excitation systems
311612004,gas cooling systems
311613005,generator rotors
311614006,primary water systems
311615007,seal oil systems
311616008,stator cooling water systems
311617009,parts of steam generators
311618000,parts of gas generators
311619001,voltage control systems
311620009,parts of transformers inductors and static converters
311621000,parts of condensers
311700008,transformers
311710005,liquid dielectric transformers
311720002,voltage transformers
311730009,instrument transformer
311740006,power supply transformers
312000008,electricity distribution and control apparatus
312100001,electrical apparatus for switching or protecting electrical circuits
312110008,boards and fuse boxes
312111009,boards for electrical apparatus
312111102,control panels
312112000,fuse boxes
312113001,fuses
312113104,cut outs
312113207,fuse blocks
312113300,fuse wires
312113403,fuse clips
312120005,circuit breakers
312121006,overhead circuit breakers
312122007,circuit testers
312123008,magnetic circuit breakers
312124009,miniature circuit breakers
312130002,distribution equipment
312131003,distribution boxes
312132004,distribution transformers
312133005,cable distribution cabinet
312134006,distribution system
312140009,switchgear
312141000,switches
312141103,isolating switches
312141206,earthing switch
312141309,safety switches
312141402,dimmer switches
312141505,drum switches
312141608,pressure switches
312141701,toggle switches
312141804,slide switches
312141907,limit switches
312142001,switch disconnector
312143002,outdoor switching installations
312144003,fuse switch disconnector
312145004,electric switchboards
312145107,distribution switchboards
312145200,medium voltage switchboards
312150006,voltage limiters
312160003,lightning arrestors
312161004,lightning protection equipment
312162005,lightning conductors
312170000,surge suppressors
312180007,busbars
312190004,protection boxes
312200004,electrical circuit components
312210001,electrical relays
312211002,power relays
312212003,general purpose relays
312213004,socket relays
312214005,alternating voltage relays
312215006,mercury relays
312216007,time relays
312217008,overload relays
312230005,lamp holders
312240002,connections and contact elements
312241003,plugs and sockets
312242004,coaxial connectors
312243005,connection boxes
312244006,connection cables
312245007,terminals
312246008,dimmers
312247009,junction boxes
312248000,cable joining kits
312248103,extension cables
312300007,parts of electricity distribution or control apparatus
313000009,insulated wire and cable
313100002,mains
313110009,mains connections
313200005,power distribution cables
313210002,electricity power lines
313211003,overhead power lines
313212004,low and medium voltage cable
313212107,low voltage cable
313212200,medium voltage cable
313213005,high voltage cable
313214006,underwater cable
313215007,submarine cable
313216008,shielded cable
313217009,signalling cable
313300008,coaxial cable
313400001,insulated cable accessories
313410008,insulated cable reels
313420005,insulated cable junctions
313430002,insulated cable joints
313440009,insulated cable glands
313500004,electric conductors for data and control purposes
313510001,electric conductors for access control systems
314000000,accumulators primary cells and primary batteries
314100003,primary cells
314110000,alkaline batteries
314200006,primary batteries
314210003,lead batteries
314220000,battery packs
314300009,electric accumulators
314310006,lead acid accumulators
314320003,nickel cadmium accumulators
314330000,nickel iron accumulators
314340007,lithium accumulators
314400002,batteries
315000001,lighting equipment and electric lamps
315100004,electric filament lamps
315110001,sealed beam lamp units
315120008,tungsten halogen filament lamps
315121009,halogen bulbs linear
315122000,halogen bulbs bi pin
315123001,halogen bulbs dichroic
315140002,discharge lamps
315150009,ultraviolet lamps
315160006,infrared lamps
315170003,arc lamps
315180000,signalling lights
315181001,floodlights
315182002,emergency lighting equipment
315182105,stormlights
315182208,light stick
315183003,rooflights
315185005,mercury vapour lamps
315186006,searchlights
315190007,incandescent and neon lamps
315191008,incandescent lamps
315192009,neon lamps
315200007,lamps and light fittings
315210004,lamps
315211005,desk lamps
315212006,floor standing lamps
315213007,portable electric lamps
315213100,warning lights
315213203,torches
315213306,rechargeable portable electric lamps
315220001,christmas tree lights
315230008,illuminated signs and nameplates
315231009,advertising neon lights
315232000,permanent message signs
315233001,illuminated nameplates
315240005,ceiling or wall light fittings
315241006,ceiling light fittings
315241109,operating theatre lamps
315241202,ceiling lights
315242007,wall light fittings
315242100,wall lights
315270006,spotlights
315272008,exterior lights
315272101,lanterns
315272606,lighting systems
315272709,platforms lighting
315273009,domestic lights
315274000,underwater lights
315300000,parts of lamps and lighting equipment
315310007,light bulbs
315311008,electric tubes
315320004,parts of lamps and light fittings
315321005,tube lamps
315321108,fluorescent tube lamps
315321201,compact fluorescent tube lamps
315322006,ring lamps
315322109,fluorescent ring lamps
315323007,globe lamps
315323100,compact fluorescent globe lamps
315324008,lamps sockets
315325009,lamp starters
315325102,starters for fluorescent lamps
315326000,lamp reactors
315326103,reactors for fluorescent lamps
315327001,lamp covers
315328002,lamp arms
315329003,fluorescent lights
315329106,fluorescent tubes
315329209,bulbs and fluorescent lamps
316000002,electrical equipment and apparatus
316100005,electrical equipment for engines and vehicles
316110002,wiring sets
316120009,electrical wiring looms for engines
316122001,starter motors
316123002,electrical signalling equipment for engines
316123105,blinkers
316200008,sound or visual signalling apparatus
316250003,burglar and fire alarms
316251004,fire detection systems
316252005,fire alarm systems
316253006,burglar alarm systems
316300001,magnets
316400004,machines and apparatus with individual functions
316420008,electronic detection apparatus
316421009,detection apparatus for metal pipes
316422000,detection apparatus for mines
316423001,detection apparatus for plastics
316424002,detection apparatus for non metallic objects
316425003,detection apparatus for timber
316430005,particle accelerators
316431006,linear accelerators
316440002,miscellaneous data recorders
316450009,pinball machines
316500007,insulating fittings
316510004,electrical tape
316600000,carbon electrodes
316700003,electrical parts of machinery or apparatus
316710000,glass envelopes and cathode ray tubes
316711001,glass envelopes
316712002,cathode ray tubes
316800006,electrical supplies and accessories
316810003,electrical accessories
316811004,electrical contacts
316812005,electric pumps
316813006,electrical circuits
316814007,electrical components
316814100,electrical materials
316815008,rechargers
316820000,electricity supplies
316821001,electricity boxes
316821104,electricity box covers
316822002,instrument panels
316822105,instrumentation and control equipment
316822208,mixing panels
316822301,graphic display panels
316823003,medium voltage equipment
316823106,medium voltage panels
316824004,overhead electrical equipment
316824107,overhead cable carriers
316825005,emergency electricity equipment
316825108,emergency power systems
316825201,emergency shutdown systems
316825304,emergency power supplies
316825407,substation equipment
317000003,electronic electromechanical and electrotechnical supplies
317100006,electronic equipment
317110003,electronic supplies
317111004,electronic components
317111107,transceivers
317111200,transducers
317111303,resistors
317111310,electrical resistors
317111406,electrodes
317111509,electrical capacitors
317111516,fixed capacitors
317111523,variable or adjustable capacitors
317111540,capacitor banks
317111557,capacitor networks
317112005,electronic scoreboards
317113006,electronic timekeeping systems
317113109,system for recording attendance
317114007,valves and tubes
317114100,cathode ray television picture tubes
317114117,television camera tubes
317114203,microwave tubes and equipment
317114210,magnetrons
317114227,microwave equipment
317114234,microwave radio equipment
317114241,klystrons
317114306,valve tubes
317114409,receiver or amplifier valves and tubes
317115008,parts of electronic assemblies
317115101,parts of electrical capacitors
317115204,parts of electrical resistors rheostats and potentiometers
317115307,parts of electronic valves and tubes
317120000,microelectronic machinery and apparatus and microsystems
317121001,microelectronic machinery and apparatus
317121104,electronic integrated circuits and microassemblies
317121111,phone cards
317121128,sim cards
317121135,cards containing integrated circuits
317121142,integrated electronic circuits
317121159,microassemblies
317121166,microprocessors
317121173,integrated circuit packages
317121180,integrated circuit sockets or mounts
317121197,integrated circuit lids
317122002,microsystems
317123003,printed circuits
317123106,populated printed circuit boards
317123209,unpopulated printed circuit boards
317123302,semiconductors
317123319,photovoltaic cells
317123326,thyristors
317123333,diacs
317123340,triacs
317123357,optical coupled isolators
317123364,crystal oscillators
317123405,diodes
317123412,light emitting diodes
317123429,microwave or small signal diodes
317123436,zener diodes
317123443,schottky diodes
317123450,tunnel diodes
317123467,photosensitive diodes
317123474,power or solar diodes
317123481,laser diodes
317123498,radio frequency rf diodes
317123508,transistors
317123515,photo sensitive transistors
317123522,field effect transistors fet
317123539,metal oxide field effect transistors mosfet
317123546,transistor chips
317123553,bipolar darlington or radio frequency rf transistors
317123560,unijunction transistors
317123577,insulated gate bipolar transistors igbt
317123584,junction field effect transistors jfet
317123591,bipolar junction transistors bjt
317123601,mounted piezo electric crystals
317200009,electromechanical equipment
317300002,electrotechnical equipment
317310009,electrotechnical supplies
317311000,modules
320000003,radio television communication telecommunication and related equipment
322000005,transmission apparatus for radiotelephony radiotelegraphy radio broadcasting and television
322100008,broadcasting equipment
322110005,broadcast production equipment
322200001,television transmission apparatus without reception apparatus
322210008,radio beacons
322220005,video signal coding machines
322230002,video transmission apparatus
322240009,television transmission apparatus
322300004,radio transmission apparatus with reception apparatus
322310001,closed circuit television apparatus
322320008,video conferencing equipment
322330005,radio frequency booster stations
322340002,closed circuit television cameras
322350009,closed circuit surveillance system
322360006,radio telephones
322370003,walkie talkies
322400007,television cameras
322500000,mobile telephones
322510007,car telephones
322511008,hands free set
322520004,gsm telephones
322521005,hands free mobile telephones
322521108,hands free mobile telephones wireless
322600003,data transmission equipment
322700006,digital transmission apparatus
323000006,television and radio receivers and sound or video recording or reproducing apparatus
323100009,radio broadcast receivers
323200002,television and audio visual equipment
323210009,television projection equipment
323211000,film equipment
323212001,audio visual equipment
323213002,audio visual materials
323220006,multimedia equipment
323230003,video monitors
323231004,colour video monitors
323232005,monochrome video monitors
323233006,video equipment
323234007,video playback equipment
323235008,video surveillance system
323240000,televisions
323241001,colour televisions
323242002,monochrome televisions
323243003,television equipment
323243106,satellite antennas
323244004,television aerials
323245005,video tuners
323246006,digital tv boxes
323300005,apparatus for sound video recording and reproduction
323310002,turntables
323311003,record players
323312004,cassette players
323313005,sound reproduction apparatus
323315007,recorders
323316008,mp3 player
323320009,magnetic tape recorders
323321000,dictating machines
323322001,telephone answering machines
323323002,sound recorders
323330006,video recording or reproducing apparatus
323331007,video recorders
323332008,video camcorders
323333009,video reproducing apparatus
323334000,video players
323400008,microphones and loudspeakers
323410005,microphones
323420002,loudspeakers
323421003,headphones
323422004,earphones
323423005,microphones and speaker sets
323424006,acoustic devices
323424109,sound equipment
323424116,mini speakers
323424123,speakers
323424202,studio mixing console
323424305,speech compression system
323424408,voice mail system
323424501,voice recorders
323430009,amplifiers
323431000,audio frequency amplifiers
323432001,megaphones
323440006,reception apparatus for radiotelephony or radiotelegraphy
323441007,portable receivers for calling and paging
323441100,voice logging system
323442008,radio receivers
323442101,radio equipment
323442204,radio pagers
323442307,radio stations
323442400,radio tower
323442503,radio installations
323442606,radio and multiplex equipment
323442709,radio and telephone control system
323442802,portable radios
323500001,parts of sound and video equipment
323510008,accessories for sound and video equipment
323511009,video editing equipment
323512000,screens
323513001,audio equipment accessories
323513104,audio cassettes
323520005,aerials and reflectors
323521006,parts of radio and radar equipment
323522007,radar spare parts and accessories
323530002,sound recordings
323531003,records
323532004,music cassettes
323540009,film products
323541000,radiology film
323541103,x ray film
323541206,blue diazo film
323542001,cinematographic film
323543002,photographic film
323544003,instant print film
323545004,video films
323546005,video cassettes
323547006,video tapes
323548007,cling film
323600004,intercom equipment
324000007,networks
324100000,local area network
324110007,token ring network
324120004,communications network
324121005,telecommunications network
324121108,internet network
324121201,intranet network
324130001,integrated network
324131002,network routers
324150005,ethernet network
324160002,isdn network
324161003,isdx network
324170009,multimedia networks
324180006,radio network
324200003,network equipment
324210000,network cabling
324220007,network components
324230004,network hubs
324240001,network infrastructure
324250008,network operating system
324260005,network publishing system
324270002,network system
324280009,network upgrade
324290006,telephone network equipment
324300006,wide area network
324400009,telemetry and terminal equipment
324410006,telemetry equipment
324411007,telemetry surveillance system
324412008,telemetry and control equipment
324413009,telematics system
324420003,terminal equipment
324421004,terminal boards
324422005,terminal boxes
324423006,terminal emulators
324424007,termination blocks
325000008,telecommunications equipment and supplies
325100001,wireless telecommunications system
325200004,telecommunications cable and equipment
325210001,telecommunications cable
325220008,telecommunications equipment
325230005,telecommunications facilities
325240002,telecommunications system
325300007,satellite related communications equipment
325310004,satellite communications equipment
325320001,satellite dishes
325330008,satellite earth stations
325340005,satellite platforms
325400000,switchboards
325410007,switchboard equipment
325420004,switchboard panels
325430001,telephone switchboards
325440008,pabx equipment
325450005,pabx systems
325460002,digital switching equipment
325461003,digital switchboards
325470009,vacuum switchboards
325500003,telephone equipment
325510000,telephone cables and associated equipment
325511001,telephone connections
325512002,telephone exchanges
325513003,telephone headsets
325514004,telephone network
325515005,telephone cables
325520007,electrical apparatus for line telephony or line telegraphy
325521008,telephone sets
325521101,cordless telephones
325521204,emergency telephones
325521307,public telephones
325521400,payphone equipment
325521503,telephones for visually impaired
325521606,telephones for hearing impaired
325522009,teleprinters
325523000,telephonic or telegraphic switching apparatus
325523103,digital telephone exchanges
325523206,multiplexers
325523309,telephone switching apparatus
325524001,audio frequency signal conversion apparatus
325524104,modems
325524207,frequency converter
325524300,coding equipment
325525002,teletext apparatus
325525105,videotext terminals
325525208,telex equipment
325526003,entrance telephones
325530004,parts of electrical telephonic or telegraphic apparatus
325600006,fibre optic materials
325610003,fibre optic connections
325620000,optical fibre cables
325621001,optical fibre cables for information transmission
325622002,optical telecommunication cables
325623003,optical fibre cables for data transmission
325700009,communications equipment
325710006,communications infrastructure
325720003,communications cable
325721004,communications cable with multiple electrical conductors
325722005,communications cable with coaxial conductors
325723006,communications cable for special applications
325730000,communications control system
325800002,data equipment
325810009,data communications equipment
325811000,data transmission cable
325811103,data transmission cable with multiple electrical conductors
325811206,data transmission cable with coaxial conductors
325811309,data transmission cable for special applications
325812001,fax equipment
325812104,accessories and components for fax equipment
325820006,data carriers
325830003,data and voice media
325840000,data bearing media
330000000,medical equipments pharmaceuticals and personal care products
331000001,medical equipments
331100004,imaging equipment for medical dental and veterinary use
331110001,x ray devices
331111002,x ray table
331112003,x ray workstations
331113004,x ray processing devices
331114005,x ray fluoroscopy devices
331115006,dental x ray
331116007,radiography devices
331116100,magnetic resonance unit
331116203,gamma cameras
331116409,thermographs
331116502,mammography devices
331116605,bone densitometers
331117008,angiography room
331117101,angiography supplies
331117204,angiography devices
331117211,digital angiography devices
331117307,angioplasty supplies
331117400,angioplasty devices
331118009,diagnostic x ray system
331120008,echo ultrasound and doppler imaging equipment
331121009,ultrasonic heart detector
331122000,ultrasonic unit
331123001,ultrasound scanners
331123104,colour flow doppler
331123207,doppler equipment
331123300,echoencephalographs
331123403,echocardiographs
331130005,magnetic resonance imaging equipment
331131006,magnetic resonance scanners
331131109,nuclear magnetic resonance scanners
331140002,spectroscopy devices
331150009,tomography devices
331151000,ct scanners
331152001,cat scanners
331200007,recording systems and exploration devices
331210004,long term ambulatory recording system
331211005,electro encephalographs
331212006,scintigraphy devices
331213007,electromyographs
331214008,audiometers
331215009,electrocardiogram
331220001,ophthalmology equipment
331230008,cardiovascular devices
331231009,tensiometer
331232000,electrocardiography devices
331232103,cardiac monitoring devices
331232206,cardio angiography devices
331232309,cardiographs
331240005,diagnostics and radiodiagnostic devices and supplies
331241006,diagnostic devices
331241109,diagnostic systems
331241202,diagnostic ultrasound devices
331241305,diagnostic supplies
331241312,reagent strips
331242007,radiodiagnostic devices
331242100,radiodiagnostic supplies
331250002,urology exploration devices
331260009,stomatology devices
331270006,immuno analysis devices
331280003,medical laser other than for surgery
331300000,dental and subspecialty instruments and devices
331310007,dental hand instrument
331311008,dental surgical instrument
331311101,dental nippers brushes retractors and burnishers
331311118,dental nippers
331311125,dental operative brushes
331311132,dental retractors
331311149,dental burnishers
331311204,dental cryosurgical gauges elevators and excavators
331311211,dental cryosurgical units
331311228,dental depth gauges
331311235,dental elevators
331311242,dental excavators
331311307,dental fingers protectors and forceps
331311314,dental fingers protectors
331311321,dental forceps
331311400,dental mirrors and reamers
331311417,dental mirrors
331311424,dental reamers
331311503,dental root tip picks scalers and scale
331311510,dental root tip picks
331311527,dental scalers
331311534,dental scale
331311606,dental scissors and knives
331311613,dental scissors
331311620,dental knives
331311709,dental spatulas tweezers and wax carvers
331311716,dental spatulas
331311723,dental tweezers
331311730,dental wax carvers
331312009,dental suture needle
331313000,dental disposable instrument
331314001,dental probe
331315002,dental extraction instrument
331315105,dental drills
331316003,dental filling instrument
331320004,dental implant
331330001,dental impression accessories
331340008,endodontics accessories
331350005,orthodontic devices
331360002,rotary and abrasive instrument
331370009,dental prophylaxis accessories
331380006,prosthodontic and relining products
331381007,dentures
331400003,medical consumables
331410000,disposable non chemical medical consumables and haematological consumables
331411001,dressings clip suture ligature supplies
331411104,dressings
331411111,adhesive dressings
331411128,plasters
331411134,bandages
331411142,medical gauze
331411159,medical wadding
331411166,dressing packs
331411173,cotton wool
331411180,wipes
331411197,compresses
331411207,clip suture ligature supplies
331411214,surgical sutures
331411221,surgical staples
331411238,sharps containers
331411245,sharps pads
331411252,material for surgical sutures
331411269,ligatures
331411276,absorbable haemostatics
331411283,needles for sutures
331412002,catheters
331412105,balloon catheters
331412208,cannulae
331412301,dilator
331412404,catheter accessories
331413003,venepuncture blood sampling devices
331413106,syringes
331413209,medical needles
331413216,anesthesia needles
331413223,arterial needles
331413230,biopsy needles
331413247,dialysis needles
331413254,fistula needles
331413261,radiology procedural needles
331413278,vented needles
331413285,epidural needles
331413292,amniocentesia needles
331414004,wire cutter and bistoury surgical gloves
331414107,wire cutter and bistoury
331414114,scalpels and blades
331414200,surgical gloves
331415005,haematological consumables
331415108,blood products
331415201,plasma extracts
331415304,blood coagulants
331415407,albumin
331415500,heparin
331415603,human organs
331415706,human blood
331415809,animal blood
331416006,collector and collection bags drainage and kits
331416109,collection bag
331416130,blood bags
331416147,plasma bags
331416154,bags for urine
331416202,medical kits
331416219,incontinence kit
331416226,aids prevention kits
331416233,first aid boxes
331416240,administration sets
331416257,diagnostic kits
331416264,dosage kits
331416305,blood plasma filters
331416408,drain
331416415,probes
331416422,drain accessories
331417007,orthopaedic supplies
331417100,crutches
331417203,walking aids
331417306,surgical collars
331417409,orthopaedic footwear
331417502,artificial joints
331417605,splints
331417708,fracture appliances pins and plates
331418008,dental consumables
331418101,dental filling materials
331418204,teeth
331418211,porcelain teeth
331418228,acrylic teeth
331418307,cement base
331418400,dental haemostatic
331418503,dental hygiene products
331419009,blood lancets
331500006,radiotherapy mechanotherapy electrotherapy and physical therapy devices
331510003,radiotherapy devices and supplies
331511004,gamma therapy devices
331512005,x ray therapy devices
331513006,spectrographs
331514007,radiotherapy supplies
331520000,incubators
331530007,lithotripter
331540004,mechanotherapy devices
331550001,physical therapy devices
331560008,psychology testing devices
331570005,gas therapy and respiratory devices
331571006,medical gas masks
331571109,oxygen mask
331572007,oxygen kits
331573008,oxygen tents
331574009,medical breathing devices
331575000,hyperbaric chambers
331577002,blow bottle
331578003,oxygen administration unit
331578106,oxygen therapy unit
331580002,electrical electromagnetic and mechanical treatment
331581003,electromagnetic unit
331582004,electrotherapy devices
331582107,stimulator
331583005,ultraviolet medical devices
331584006,mechanical therapy unit
331585007,infrared medical devices
331590009,clinical chemistry system
331600009,operating techniques
331610006,electrosurgical unit
331620003,operating theatre devices and instruments
331621004,operating theatre devices
331622005,operating theatre instruments
331630000,tent for medical use
331640007,coelioscopy devices
331641008,colposcope
331650004,cryosurgical and cryotherapy devices
331660001,dermatological devices
331670008,surgical lights
331680005,endoscopy endosurgery devices
331681006,endoscopes
331690002,surgical instruments
331691003,surgical laser
331692004,surgical baskets
331693005,surgical trays
331694006,surgical containers
331695007,surgical tracking and tracing systems
331700002,anaesthesia and resuscitation
331710009,instruments for anaesthesia and resuscitation
331711000,instruments for anaesthesia
331711103,anaesthesia mask
331712001,instruments for resuscitation
331712104,resuscitation mask
331713002,epidural kits or packs
331720006,anaesthesia and resuscitation devices
331721007,anaesthesia devices
331722008,resuscitation devices
331800005,functional support
331810002,renal support devices
331811003,haemodialysis devices
331812004,dialysis filters
331813005,haemodialysis individual monitor
331814006,haemodialysis multiposition
331815007,renal consumables
331815100,renal fluid
331815203,renal dialysis consumables
331820009,cardiac support devices
331821000,defibrillator
331822001,cardiac stimulation devices
331822104,pacemaker
331822207,cardiac valve
331822300,ventricle
331822403,parts and accessories for pacemakers
331822410,batteries for pacemakers
331823002,cardiac surgery devices
331824003,cardiac x ray system
331830006,orthopaedic support devices
331831007,orthopaedic implants
331832008,orthopaedic prostheses
331833009,osteosynthesis devices
331840003,artificial parts of the body
331841004,surgical implants
331842005,vascular prostheses
331843006,artificial parts of the heart
331844007,breast prostheses
331844100,internal breast prostheses
331844203,external breast prostheses
331845008,coronary endoprostheses
331846009,false eyes
331850000,hearing aids
331851001,parts and accessories for hearing aids
331852002,cochlear implant
331853003,otolaryngology implant
331854004,larynx artificial
331860007,extracorporeal circulatory unit
331861008,oxygenator
331862009,blood and fluid warming
331900008,miscellaneous medical devices and products
331910005,sterilisation disinfection and hygiene devices
331911006,steriliser
331911109,autoclaves
331920002,medical furniture
331921003,beds for medical use
331921106,orthopaedic beds
331921209,hospital beds
331921302,motorised beds
331921405,psychiatric couches
331921508,therapy beds
331921601,stretchers
331922004,medical tables
331922107,examination tables
331922303,operating tables
331923005,medical furniture except beds and tables
331923108,traction or suspension devices for medical beds
331923201,urine bottle holders
331923304,transfusion pods
331923407,operating theatre furniture except tables
331923500,medical cultivation cabinet
331924006,dental workstations
331924109,dental chairs
331925007,test tubes
331926008,lifting equipment for health care sector
331930009,invalid carriages wheelchairs and associated devices
331931000,invalid carriages and wheelchairs
331931103,invalid carriages
331931206,wheelchairs
331931213,motorised wheelchairs
331932001,parts and accessories for invalid carriages and wheelchairs
331932104,parts and accessories for invalid carriages
331932111,motors for invalid carriages
331932128,steering devices for invalid carriages
331932135,control devices for invalid carriages
331932142,chassis for invalid carriages
331932207,parts and accessories for wheelchairs
331932214,wheelchair cushions
331932221,wheelchair frames
331932238,wheelchair seats
331932245,wheelchair wheels
331932252,wheelchair tyres
331940006,devices and instruments for transfusion and infusion
331941007,devices and instruments for infusion
331941100,infusion pumps
331941203,infusion supplies
331942008,devices and instruments for transfusion
331942101,blood transfusion devices
331942204,blood transfusion supplies
331950003,patient monitoring system
331951004,monitors
331951107,respiratory monitors
331952005,central monitoring station
331960000,medical aids
331961001,devices for the elderly
331962002,devices for the disabled
331970007,medical computer equipment
331980004,hospital paper articles
331981005,paper compresses
331982006,paper sterilisation pouches or wraps
331990001,medical clothing
336000006,pharmaceutical products
336100009,medicinal products for the alimentary tract and metabolism
336110006,medicinal products for acid related disorders
336120003,medicinal products for functional gastrointestinal disorders
336130000,laxatives
336140007,antidiarrhoeals intestinal anti inflammatory anti infective agents
336150004,medicinal products used in diabetes
336151005,insulin
336160001,vitamins
336161002,provitamins
336170008,mineral supplements
336200002,medicinal products for the blood blood forming organs and the cardiovascular system
336210009,medicinal products for the blood and blood forming organs
336211000,antithrombotic agents
336212001,antihaemorrhagics
336213002,antianaemic preparations
336214003,blood substitutes and perfusion solutions
336220006,medicinal products for the cardiovascular system
336221007,cardiac therapy medicinal products
336222008,antihypertensives
336223009,diuretics
336224000,vasoprotectives
336225001,antihaemorrhoidals for topical use
336226002,beta blocking agents
336227003,calcium channel blockers
336228004,agents acting on the renin angiotensin system
336300005,medicinal products for dermatology and the musculo skeletal system
336310002,medicinal products for dermatology
336311003,antifungals for dermatological use
336311106,salicylic acids
336312004,emollients and protectives
336313005,antipsoriatics
336314006,antibiotics and chemotherapeutics for dermatological use
336315007,corticosteroids for dermatological use and dermatological preparations
336316008,antiseptics and disinfectants
336317009,anti acne preparations
336320009,medicinal products for the musculo skeletal system
336321000,anti inflammatory and anti rheumatic products
336322001,muscle relaxants
336323002,antigout preparations
336400008,medicinal products for the genitourinary system and hormones
336410005,medicinal products for the genitourinary system and sex hormones
336411006,gynaecological anti infectives and antiseptics
336412007,other gynaecologicals
336413008,sex hormones and modulators of the genital system
336414009,contraceptives
336414102,oral contraceptives
336414205,chemical contraceptives
336420002,systemic hormonal preparations excl sex hormones
336421003,pituitary hypothalamic hormones and analogues
336422004,corticosteroids for systemic use
336423005,thyroid therapy medicinal products
336500001,general anti infectives for systemic use vaccines antineoplastic and immunodulating agents
336510008,general anti infectives for systemic use and vaccines
336511009,antibacterials for systemic use
336512000,antimycotics for systemic use
336513001,antimycobacterials
336514002,antivirals for systemic use
336515003,immune sera and immunoglobulins
336515106,antisera
336515209,immunoglobulins
336516004,vaccines
336516107,diphtheria pertussis tetanus vaccines
336516200,diphtheria tetanus vaccines
336516303,bcg vaccines dried
336516406,measles mumps rubella vaccines
336516509,typhus vaccines
336516602,influenza vaccines
336516705,polio vaccines
336516808,hepatitis b vaccines
336516901,vaccines for veterinary medicine
336520005,antineoplastic and immunomodulating agents
336521006,antineoplastic agents
336522007,endocrine therapy medicinal products
336523008,immunosuppressive agents
336600004,medicinal products for the nervous system and sensory organs
336610001,medicinal products for the nervous system
336611002,anaesthetics
336612003,analgesics
336613004,antiepileptics
336614005,anti parkinson medicinal products
336615006,psycholeptics
336616007,psychoanaleptics
336617008,other nervous system medicinal products
336620008,medicinal products for sensory organs
336621009,ophthalmologicals
336700007,medicinal products for the respiratory system
336730008,medicinal products for obstructive airway diseases
336740005,cough and cold preparations
336750002,antihistamines for systemic use
336800000,pharmaceutical articles
336810007,teats nipple shields and similar articles for babies
336820004,rubber tiles
336830001,rubber cushioning
336900003,various medicinal products
336910000,antiparasitic products insecticides and repellents
336911001,antiprotozoals
336912002,anthelmintics
336913003,ectoparasiticides incl scabicides insecticides and repellents
336920007,medical solutions
336921008,infusion solutions
336922009,parenteral nutrition products
336922102,parenteral feeding solutions
336923000,enteral feeds
336924001,perfusion solutions
336925002,injectable solutions
336925105,intravenous fluids
336926003,galenical solutions
336927004,glucose solutions
